
Page: 1                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed: Oct 17 2018 17:17:56
==============================================================================================================
SN:290_003.18 Shot: 1139 Jug: 057 Mass: 190 Ctr:  76 ROT: 290.0277 ZT: 289.5990(2018) CT: 290.0154 CL:    15
NCHAN:4096   Live:    15.0   True:    17.7   Delta: 0.4225   Rate:755934   Gain: 0.50021   Zero: -0.17000
 15     431.0     434.0     436.0     216.92        8023       3.5    9.6460E+05         No
 16     456.0     457.6     459.0     228.74        1145      18.7    1.4430E+05        Yes
 17     497.0     498.0     501.0     248.94        3712       6.3    5.0420E+05         No
 18     501.0     503.2     505.0     251.55        3060       8.2    4.1950E+05         No
 19     507.0     509.7     511.0     254.77       15635      17.7    2.1680E+06         No
 20     521.0     522.9     527.0     261.37        4609       5.8    6.5380E+05         No
 21     527.0     531.2     540.0     265.54       79340       0.7    1.1410E+07         No
 22     555.0     557.8     560.0     278.86       19467       1.6    2.9250E+06         No
 23     575.0     580.2     584.0     290.06       13085       2.6    2.0360E+06         No
 24     595.0     600.1     603.0     300.02       38130       1.2    6.1120E+06        Yes
 25     603.0     605.0     607.0     302.45       13685       2.6    2.2090E+06        Yes
 26     612.0     614.7     617.0     307.30        3343      11.0    5.4740E+05         No
 27     656.0     659.2     660.0     329.57        2383      10.3    4.1510E+05        Yes
 28     676.0     678.1     680.0     339.00        2321       8.5    4.1450E+05         No
 29     690.0     693.0     696.0     346.46        8534       3.0    1.5540E+06         No
 30     727.0     728.7     730.0     364.33        1843       8.5    3.5090E+05        Yes
 31     741.0     744.0     746.0     372.01        1887       9.1    3.6590E+05         No
 32     758.0     759.5     761.0     379.75        1376      11.9    2.7190E+05         No
 33     795.0     795.8     799.0     397.92        1219      12.0    2.5120E+05         No
 34     808.0     809.8     812.0     404.91        2423       7.4    5.0760E+05        Yes
 35     819.0     822.9     825.0     411.45        2496       9.5    5.3070E+05        Yes
 36     836.0     838.7     841.0     419.33        1005      15.6    2.1750E+05         No
 37     844.0     846.3     850.0     423.17        1813      15.9    3.9580E+05         No
 38     860.0     865.2     870.0     432.59        6727       3.3    1.4990E+06         No
 39     886.0     888.4     891.0     444.22        3182       6.0    7.2710E+05         No
 40     901.0     902.9     905.0     451.45        1001      18.1    2.3220E+05         No
 41     905.0     906.3     909.0     453.15        1325      11.2    3.0840E+05         No
 42     917.0     929.2     936.0     464.63      139231       0.5    3.3190E+07         No
 43     948.0     954.6     965.0     477.32       73720       0.7    1.8020E+07        Yes
 44     965.0     967.2     969.0     483.61        1596       9.2    3.9500E+05         No
 45     972.0     974.6     975.0     487.36         636      19.1    1.5850E+05        Yes
 46     988.0     991.8     996.0     495.96        2129      12.1    5.3960E+05         No
 47    1009.0    1021.8    1030.0     510.95      480450       0.4    1.2520E+08         No
 48    1030.0    1031.4    1034.0     515.77       20981       2.2    5.5160E+06         No
 49    1034.0    1036.1    1044.0     518.10       26058       1.9    6.8800E+06         No
 50    1044.0    1047.7    1050.0     523.90        5005       3.8    1.3350E+06         No
 51    1077.0    1081.1    1085.0     540.63       15204       1.8    4.1780E+06         No
 52    1091.0    1092.5    1095.0     546.30         470      19.9    1.3040E+05         No
 53    1127.0    1134.3    1141.0     567.20       25987       1.4    7.4700E+06         No
 54    1141.0    1144.7    1150.0     572.40        9162       2.6    2.6560E+06         No
 55    1150.0    1154.2    1158.0     577.16        4131       3.9    1.2070E+06         No
 56    1168.0    1169.8    1172.0     584.96         575      15.4    1.7020E+05         No
 57    1190.0    1192.1    1196.0     596.13        1610       8.3    4.8500E+05         No
 58    1207.0    1213.7    1219.0     606.95       17321       1.7    5.3060E+06         No
 59    1221.0    1223.8    1226.0     611.99        2509       5.0    7.7440E+05         No
 60    1229.0    1236.1    1240.0     618.14        6001       3.1    1.8700E+06         No
 61    1240.0    1243.5    1246.0     621.87        2564       5.7    8.0350E+05         No
 62    1259.0    1265.7    1271.0     632.92        4568       3.8    1.4560E+06         No
 63    1286.0    1289.6    1292.0     644.92        2358       5.4    7.6460E+05         No
 64    1304.0    1307.3    1310.0     653.74         887      13.2    2.9150E+05         No
 65    1322.0    1326.3    1330.0     663.24       11424       2.1    3.8030E+06         No
 66    1330.0    1331.7    1338.0     665.97        2342       6.4    7.8280E+05         No
 67    1352.0    1356.1    1361.0     678.18        1393      13.3    4.7330E+05         No
 68    1366.0    1368.8    1371.0     684.50         563      17.7    1.9300E+05         No
 69    1375.0    1378.9    1382.0     689.56        4817       3.4    1.6620E+06         No
 70    1393.0    1395.3    1400.0     697.78         955      10.3    3.3310E+05         No
 71    1563.0    1568.6    1575.0     784.44       15272       1.8    5.9260E+06         No
 72    1629.0    1632.6    1636.0     816.46         744      15.4    2.9950E+05        Yes
 73    1636.0    1639.1    1643.0     819.73         709      12.4    2.8650E+05        Yes
 74    1652.0    1657.3    1663.0     828.83        3509       4.3    1.4320E+06         No
 75    1685.0    1692.3    1696.0     846.32        1599       7.3    6.6510E+05         No
 76    1714.0    1717.3    1722.0     858.83        1355       8.8    5.7100E+05         No
 77    1723.0    1724.6    1728.0     862.49         562      16.9    2.3770E+05         No
 78    1740.0    1742.8    1746.0     871.61        1514       7.1    6.4680E+05         No
 79    1760.0    1763.1    1767.0     881.76         923       9.7    3.9850E+05         No
 80    1773.0    1775.5    1778.0     887.95         285      23.4    1.2380E+05         No
 81    1795.0    1798.9    1805.0     899.67        4493       3.4    1.9760E+06         No
 82    1809.0    1812.5    1815.0     906.45        1275       7.8    5.6460E+05         No
 83    1881.0    1887.1    1889.0     943.77         583      14.0    2.6830E+05         No
 84    1898.0    1901.8    1906.0     951.12        1029       8.9    4.7710E+05         No
 85    1926.0    1928.0    1934.0     964.23         637      20.7    2.9930E+05         No
 86    1939.0    1944.8    1950.0     972.65         872      10.8    4.1310E+05         No
 87    1962.0    1967.8    1972.0     984.15         625      13.0    2.9950E+05         No
 88    1974.0    1980.4    1987.0     990.46        2073       6.2    9.9870E+05         No
 89    2030.0    2032.1    2035.0    1016.32         297      21.2    1.4660E+05         No
 90    2058.0    2063.5    2068.0    1032.01        6315       2.8    3.1640E+06         No
 91    2086.0    2093.0    2098.0    1046.78        3161       4.4    1.6050E+06        Yes
 92    2179.0    2184.1    2188.0    1092.33         827      11.5    4.3730E+05         No
 93    2197.0    2200.0    2205.0    1100.28         391      17.0    2.0810E+05         No
 94    2297.0    2299.5    2302.0    1150.05         294      23.6    1.6350E+05         No
 95    2302.0    2305.8    2308.0    1153.20         453      18.6    2.5190E+05         No
 96    2308.0    2309.0    2314.0    1154.83         359      18.2    2.0020E+05         No
 97    2344.0    2343.4    2346.0    1172.01         319      15.7    1.8020E+05        Yes
 98    2346.0    2347.0    2349.0    1173.81         240      21.9    1.3560E+05         No
 99    2359.0    2367.1    2371.0    1183.89        1077       9.2    6.1390E+05         No
100    2389.0    2392.8    2397.0    1196.76         552      16.8    3.1740E+05         No
101    2397.0    2400.0    2403.0    1200.35         937       9.4    5.4010E+05         No
102    2412.0    2414.5    2419.0    1207.57         310      21.4    1.7960E+05        Yes
103    2422.0    2425.4    2429.0    1213.05         571      16.1    3.3180E+05         No
104    2438.0    2442.7    2447.0    1221.68        1988       5.7    1.1610E+06         No
105    2464.0    2467.7    2470.0    1234.22         379      17.2    2.2300E+05        Yes
106    2513.0    2516.2    2519.0    1258.45         373      17.9    2.2300E+05         No
107    2551.0    2555.5    2557.0    1278.12         249      22.4    1.5090E+05         No
108    2573.0    2575.4    2578.0    1288.08         360      16.1    2.1920E+05         No
109    2721.0    2724.6    2729.0    1362.71         356      20.2    2.2740E+05         No
110    2751.0    2755.0    2761.0    1377.90        1092       8.7    7.0530E+05         No
111    2858.0    2864.2    2869.0    1432.52         594      12.6    3.9810E+05         No
112    2927.0    2930.7    2935.0    1465.78         409      15.8    2.8040E+05         No
113    2981.0    2989.4    2995.0    1495.18        1911       6.2    1.3350E+06         No
114    2995.0    3001.0    3006.0    1500.96        2703       4.8    1.8950E+06         No
115    3049.0    3053.4    3058.0    1527.19         977       9.1    6.9640E+05         No
116    3063.0    3067.2    3072.0    1534.05         862       9.7    6.1680E+05         No
117    3160.0    3169.8    3175.0    1585.39        1168      10.6    8.6300E+05         No
118    3185.0    3192.6    3196.0    1596.79         603      13.5    4.4880E+05        Yes
119    3203.0    3207.8    3213.0    1604.42        1881       6.4    1.4050E+06         No
120    3323.0    3328.8    3332.0    1664.95         372      19.0    2.8830E+05         No
121    3435.0    3441.6    3446.0    1721.37         571      14.7    4.5660E+05         No
122    3533.0    3540.1    3543.0    1770.62         551      13.5    4.5230E+05         No
123    3561.0    3563.9    3567.0    1782.55         273      19.4    2.2520E+05         No
124    3698.0    3702.3    3705.0    1851.74         170      21.6    1.4580E+05         No
125    3769.0    3775.2    3780.0    1888.21         390      15.9    3.4070E+05         No
126    3811.0    3819.7    3829.0    1910.49        4406       3.9    3.8900E+06         No
127    3839.0    3842.0    3847.0    1921.65         257      20.4    2.2860E+05         No
128    3965.0    3972.6    3978.0    1986.99         529      12.9    4.8520E+05         No
129    4013.0    4017.9    4022.0    2009.60         402      13.7    3.7290E+05         No
130    4022.0    4023.3    4030.0    2012.32         210      18.9    1.9470E+05         No

Line   Nuclide   Isotope   Meta      DPM@ZT       DPM@CT        Atoms@ZT       Error      Accept  Comment
   Energy      DPM@ZT             Fraction   Error   StdDev

  1      BE           7            1.7440E+08    1.7340E+08    1.9300E+13       1.40        u      

   477.00      1.7440E+08            1.00     1.20     0.00
  2      CO          60            1.2810E+05    1.2810E+05    5.1210E+11      17.60        u      

  1172.00      1.8040E+05            1.00    15.60     0.00
  1333.00      3.7320E+04           -1.00     0.00     0.00
  3      TE         132            1.7920E+05    1.6360E+05    1.1930E+09      18.70        u      

   229.00      1.7920E+05            1.00    18.60     0.00
  4      TE         131       M    6.1490E+05    4.8640E+05    1.5960E+09      34.60        u      

  1208.00      2.3300E+06            1.00    21.40     0.00
   852.00      2.3540E+05           -1.00     0.00     0.00
  5      I         131            4.4820E+05    4.3220E+05    7.4850E+09       8.60        u      

   364.00      4.4820E+05            1.00     8.50     0.00
  6      CS         136            5.3960E+05    5.2770E+05    1.4750E+10       6.20        u      

   820.00      2.9360E+05            1.00    12.40     0.00
  1047.00      2.0590E+06            1.00     4.50     0.00
  1234.00      1.1510E+06            1.00    17.10     0.00
  7      LA         140            5.3500E+05    4.4930E+05    1.8650E+09       9.90        u      

   487.00      4.1120E+05            1.00    19.10     0.00
   816.00      1.5110E+06            1.00    15.40     0.00
  1597.00      5.6010E+05            1.00    13.50     0.00
  8      TB         161            5.1230E+06    4.9110E+06    7.3530E+10       7.50        u      

    75.00      5.3140E+06            1.00     7.30     0.00
    49.00      1.6740E+06           -1.00     0.00     0.00
  9      AU         198            6.1950E+05    5.5570E+05    3.4660E+09       9.60        u      

   411.00      6.1950E+05            1.00     9.50     0.00
  10      PB         211            1.5710E+12    1.3250E+07    8.1780E+13       7.50        u      

   405.00      1.5710E+12            1.00     7.40     0.00
  11      PA         231            4.6770E+08    1.1260E+08    1.1630E+19       2.20        u      

   300.00      9.8310E+08            0.92     1.50     0.00
   302.00      5.3650E+08            1.00     2.70     0.00
  12      AC         227            4.9630E+08    4.9620E+08    8.1950E+15      32.90        u      

   300.00      1.1660E+10            0.62     1.50     0.00
  13      U         237            6.2870E+06    6.0200E+06    8.8150E+10       3.80        u      

    97.00      6.2870E+06            1.00     3.60     0.00
  14      NP         239            1.5270E+06    1.3480E+06    7.4690E+09      18.70        u      

   229.00      1.5270E+06            1.00    18.60     0.00


Page:2                 anlresprint.php, Ver 1.4, 25FEB2011                 Printed:Oct 17 2018 17:17:57
==============================================================================================================
SN:290_003.18 Shot: 1139 Jug: 057 Mass: 190 Ctr:  76 ROT: 290.0277 ZT: 289.5990(2018) CT: 290.0154 CL:    15
NCHAN:4096   Live:    15.0   True:    17.7   Delta: 0.4225   Rate:755934   Gain: 0.50021   Zero: -0.17000
Type:  3  User: 76  Gain:  0  Pos:  4  Shelf: 18   LP Prog/Yr/Seq:0/0/0  Timestamp: 2018-10-17 00:42:02.0
Count acc/rej: default    QAStatus: pending    QA'd by: 00    QA Time:     QA Comm:  
--------------------------------------------------------------------------------------------------------------

==============================================================================================================
Analysis Results:

Analysis Code: specanl  Peaks: 149  Overall QA:    0.00  Library: 9  CD: 71  Timestamp:2018-10-17 00:42:02.0 
Analysis ZT: 289.5990      AnalysisZY: 2018     Original: Yes     Comment: 

Peak   Centroid    Energy     NetArea     Error     QFit    Gammas/Min      FWHM    Identified
  1     145.66      72.69        2291      11.3      1.0    4.3775E+05      0.90        No
  2     150.05      74.89        3849       6.7      1.0    6.8214E+05      0.90       Yes
  3     169.81      84.77        1734      16.2      1.1    2.2471E+05      1.05       Yes
  4     175.95      87.84       18612       1.7      9.8    2.2044E+06      1.05        No
  5     194.57      97.15        8860       3.2      1.0    9.7347E+05      0.95       Yes
  6     239.08     119.42        6480       9.7     16.9    6.1546E+05      0.84        No
  7     247.63     123.70        2646      16.2      1.0    2.4756E+05      1.31        No
  8     261.70     130.73       70076       0.6      1.0    6.5731E+06      0.98        No
  9     284.86     142.32        1545      16.7      1.0    1.4549E+05      0.83        No
 10     311.16     155.47       22814       1.5      1.0    2.1560E+06      1.03        No
 11     357.28     178.54        4404       7.0      2.1    4.4555E+05      1.05        No
 12     364.52     182.17      155254       0.4     14.0    1.5989E+07      1.05        No
 13     380.41     190.12        6334       5.5      1.0    6.7752E+05      1.11        No
 14     386.10     192.96        6712       5.2      1.0    7.2749E+05      1.11        No
 15     413.14     206.49       18086       1.7      1.0    2.0816E+06      1.07        No
 16     433.98     216.91        9021       3.2      1.3    1.0846E+06      1.04        No
 17     457.53     228.69        2529      14.4      1.0    3.1863E+05      1.23       Yes
 18     498.08     248.97        4191       6.1      1.7    5.6945E+05      1.10        No
 19     503.32     251.59        3406       7.4      1.0    4.6712E+05      1.10        No
 20     508.79     254.33        6280       4.2      1.0    8.6940E+05      1.10       Yes
 21     522.80     261.34        5768       5.0      1.0    8.1802E+05      1.14        No
 22     531.25     265.57       82202       0.5      4.0    1.1826E+07      1.14        No
 23     551.76     275.83        2237      11.8      1.4    3.3276E+05      1.17        No
 24     557.77     278.83       21857       1.5      1.6    3.2832E+06      1.17        No
 25     580.47     290.19       13112       2.6     13.8    2.0405E+06      1.42        No
 26     588.50     294.20        1466      20.9      1.7    2.3095E+05      1.42        No
 27     600.24     300.08       41647       0.9      4.2    6.6767E+06      1.21       Yes
 28     605.03     302.47       16005       1.9      6.4    2.5840E+06      1.21       Yes
 29     614.20     307.06        3499       7.6     14.6    5.7257E+05      1.21        No
 30     659.07     329.50        3626       8.7      1.6    6.3154E+05      1.43        No
 31     678.09     339.02        2946       8.0      1.0    5.2631E+05      1.15        No
 32     692.98     346.47        8822       2.8      1.0    1.6065E+06      1.23        No
 33     728.59     364.28        2508       7.2      1.0    4.7747E+05      1.04       Yes
 34     735.93     367.95         997      22.3      1.0    1.9149E+05      1.41       Yes
 35     744.09     372.03        2881       7.7      1.0    5.5888E+05      1.24        No
 36     759.61     379.80        1613      10.7      1.0    3.1875E+05      1.16        No
 37     795.89     397.94        1602       9.7      1.0    3.3003E+05      1.05        No
 38     809.71     404.85        2667       7.0      1.0    5.5854E+05      1.34       Yes
 39     822.53     411.27        2815       9.0      1.9    5.9841E+05      1.89       Yes
 40     838.73     419.37        1424      13.6      1.0    3.0828E+05      1.53        No
 41     847.22     423.62        2415      13.3      1.7    5.2779E+05      2.74        No
 42     865.19     432.61        6937       3.0      1.0    1.5461E+06      1.36        No
 43     888.55     444.29        4463       5.5      1.4    1.0199E+06      1.56        No
 44     905.51     452.77        3177      11.6      3.7    7.3901E+05      3.32        No
 45     929.29     464.67      137463       0.4     10.9    3.2767E+07      1.33        No
 46     954.54     477.30       73624       0.7     86.6    1.7997E+07      1.50       Yes
 47     967.26     483.66        2178       8.9      4.2    5.3900E+05      1.50        No
 48     974.15     487.11        1035      17.8      1.5    2.5788E+05      1.50       Yes
 49     991.94     496.01        1547      13.6      1.0    3.9204E+05      1.99        No
 50    1005.33     502.70        1362      22.2     16.8    3.4946E+05      1.34        No
 51    1021.78     510.94      497682       0.3    156.5    1.2969E+08      1.34        No
 52    1036.15     518.12       25860       1.7    406.8    6.8279E+06      1.34        No
 53    1047.59     523.85        9433       3.7     62.7    2.5165E+06      1.34        No
 54    1070.03     535.07         576      22.1      1.0    1.5666E+05      1.39        No
 55    1081.30     540.71       15866       1.6      4.5    4.3603E+06      1.65        No
 56    1092.69     546.41         703      17.2      1.0    1.9506E+05      1.20        No
 57    1114.11     557.12         563      21.2      1.0    1.5920E+05      1.38        No
 58    1120.49     560.31         694      17.1      1.0    1.9716E+05      1.38        No
 59    1134.38     567.26       26900       1.0     36.4    7.7332E+06      1.62        No
 60    1144.57     572.36        9578       2.4      2.2    2.7768E+06      1.62        No
 61    1154.15     577.15        4778       3.7      2.5    1.3960E+06      1.62        No
 62    1162.10     581.12         447      22.1      1.0    1.3155E+05      1.17        No
 63    1169.73     584.94         631      14.3      1.0    1.8680E+05      1.04        No
 64    1192.33     596.24        2244       7.1      1.7    6.7597E+05      1.66        No
 65    1213.58     606.88       17640       1.7     30.4    5.4030E+06      1.70       Yes
 66    1223.80     611.99        2615       4.6      1.0    8.0732E+05      1.27        No
 67    1236.13     618.16        5986       2.8      1.0    1.8654E+06      1.55        No
 68    1243.47     621.82        2686       5.0      1.0    8.4173E+05      1.55       Yes
 69    1265.60     632.90        4644       3.9      1.2    1.4795E+06      1.62        No
 70    1289.58     644.89        2349       5.2      1.0    7.6179E+05      1.41        No
 71    1307.54     653.87        1143      12.2      1.0    3.7543E+05      1.90        No
 72    1326.41     663.31       14115       1.7      8.5    4.6995E+06      1.68        No
 73    1356.54     678.38        1697      12.2      1.0    5.7665E+05      2.96        No
 74    1368.61     684.42         591      17.2      1.0    2.0258E+05      1.49        No
 75    1378.95     689.60        4646       3.2      1.0    1.6026E+06      1.51        No
 76    1395.41     697.83         973       9.5      1.0    3.3920E+05      1.21       Yes
 77    1415.17     707.71         233      28.7      1.0    8.2143E+04      1.03        No
 78    1423.28     711.77         386      15.6      1.0    1.3708E+05      0.84        No
 79    1530.62     765.46         263      30.3      1.0    9.9813E+04      1.55       Yes
 80    1568.50     784.41       15349       1.8      2.8    5.9561E+06      1.99        No
 81    1632.49     816.42         656      14.9      1.0    2.6401E+05      1.79       Yes
 82    1639.24     819.79         606      12.3      1.0    2.4463E+05      1.30        No
 83    1657.29     828.82        3859       3.9      1.0    1.5748E+06      1.95        No
 84    1669.28     834.82         354      25.6      1.0    1.4529E+05      1.88        No
 85    1682.92     841.64         427      23.2      1.6    1.7655E+05      1.82        No
 86    1692.29     846.33        1541       7.1      2.0    6.4075E+05      1.82        No
 87    1717.52     858.95        1336       8.8      1.0    5.6326E+05      1.95        No
 88    1724.52     862.45         719      14.4      1.0    3.0416E+05      1.95        No
 89    1734.46     867.43         329      24.1      1.0    1.4001E+05      1.64        No
 90    1742.89     871.64        1558       6.7      1.0    6.6580E+05      1.64        No
 91    1763.09     881.75         985       9.8      1.0    4.2522E+05      1.77        No
 92    1775.33     887.87         352      22.4      1.0    1.5282E+05      1.48        No
 93    1798.93     899.67        4548       3.2      1.4    2.0001E+06      1.72        No
 94    1812.24     906.33        1260       7.4      1.2    5.5785E+05      1.69        No
 95    1861.35     930.90         253      36.0      1.4    1.1514E+05      2.01        No
 96    1887.15     943.80         699      12.4      1.0    3.2157E+05      1.35        No
 97    1902.08     951.27        1168       8.9      2.2    5.4180E+05      1.93        No
 98    1944.94     972.71         828      11.4      1.0    3.9212E+05      1.72        No
 99    1967.90     984.19         688      13.8      1.0    3.2961E+05      1.87        No
100    1980.30     990.39        2120       5.7      1.0    1.0213E+06      2.01        No
101    2018.61    1009.56         246      33.5      1.0    1.2073E+05      1.99        No
102    2032.44    1016.47         391      18.2      1.0    1.9287E+05      1.58        No
103    2044.84    1022.68         340      21.4      1.0    1.6899E+05      1.57        No
104    2063.68    1032.10        6331       2.7      1.4    3.1724E+06      1.81        No
105    2093.08    1046.81        3179       4.4      2.6    1.6144E+06      2.03        No
106    2151.73    1076.15         116      32.6      1.0    6.0696E+04      0.73        No
107    2162.03    1081.30         250      28.6      1.0    1.3073E+05      1.85        No
108    2183.78    1092.18        1009      10.9      1.0    5.3370E+05      2.55        No
109    2199.90    1100.24         386      17.7      1.0    2.0576E+05      1.60        No
110    2306.20    1153.41         673      30.8      1.4    3.7474E+05      6.05       Yes
111    2345.74    1173.19         632      17.4      2.4    3.5771E+05      3.01       Yes
112    2367.36    1184.01        1224       8.1      1.0    6.9738E+05      1.94        No
113    2392.39    1196.53         624      14.3      1.0    3.5877E+05      2.01        No
114    2399.98    1200.32        1094       8.7      1.1    6.3048E+05      2.01        No
115    2415.58    1208.13         390      25.2      1.2    2.2599E+05      2.43        No
116    2425.78    1213.23         774      13.7      1.0    4.4958E+05      2.43        No
117    2442.78    1221.73        2141       5.6      1.0    1.2506E+06      2.00        No
118    2467.73    1234.21         394      17.2      1.0    2.3224E+05      1.67        No
119    2474.61    1237.65         197      29.1      1.0    1.1602E+05      1.95       Yes
120    2516.74    1258.73         409      17.2      1.0    2.4489E+05      1.65        No
121    2575.50    1288.12         428      14.1      1.0    2.6077E+05      1.10        No
122    2724.99    1362.90         445      23.8      1.0    2.8451E+05      2.93       Yes
123    2754.92    1377.87        1191       8.3      1.0    7.6914E+05      2.05        No
124    2864.86    1432.86         520      14.6      1.0    3.4899E+05      1.75        No
125    2880.61    1440.74         137      48.4      1.6    9.2684E+04      1.93        No
126    2918.51    1459.70         150      33.3      1.0    1.0274E+05      1.54        No
127    2931.31    1466.10         466      18.4      1.2    3.1915E+05      2.44        No
128    2990.06    1495.49        1608       6.8      1.0    1.1236E+06      1.91        No
129    3001.34    1501.13        2532       4.8      1.7    1.7754E+06      1.91        No
130    3042.45    1521.69         170      38.2      1.0    1.2089E+05      2.02        No
131    3053.63    1527.29        1056       8.5      1.0    7.5304E+05      1.82        No
132    3067.73    1534.34         940      10.8      1.3    6.7279E+05      2.31        No
133    3168.43    1584.71        1563       9.3      2.5    1.1543E+06      4.06        No
134    3182.97    1591.98          83      52.0      1.0    6.1515E+04      0.69        No
135    3192.91    1596.95         762      12.2      1.3    5.6717E+05      1.76       Yes
136    3208.64    1604.82        1910       6.2      1.0    1.4275E+06      2.09        No
137    3273.55    1637.29         255      29.2      1.0    1.9454E+05      1.56        No
138    3329.40    1665.23         373      19.8      1.0    2.8892E+05      1.86        No
139    3440.76    1720.93         576      15.3      1.5    4.6026E+05      2.54        No
140    3540.09    1770.62         564      13.4      5.9    4.6340E+05      2.30        No
141    3564.73    1782.95         270      24.0      1.0    2.2343E+05      1.79        No
142    3648.12    1824.65         216      34.3      1.0    1.8281E+05      2.55        No
143    3672.47    1836.84          52      45.8      1.0    4.4305E+04      2.34        No
144    3705.46    1853.34         315      27.1      1.0    2.7034E+05      3.78        No
145    3776.41    1888.83         393      19.7      1.0    3.4316E+05      1.42        No
146    3821.02    1911.14        4433       4.6      3.7    3.9158E+06      2.15        No
147    3997.98    1999.66         298      22.7      1.2    2.7503E+05      2.95        No
148    4036.42    2018.89         535      11.3      8.9    4.9832E+05      2.45        No
149    4084.32    2042.85         875      13.5      2.4    8.2335E+05      5.13        No

Line   Nuclide   Isotope   Meta      DPM@ZT       DPM@CT        Atoms@ZT       Error      Accept  Comment
   Energy      DPM@ZT             Fraction   Error   StdDev

  1      BE           7            1.7420E+08    1.7320E+08    1.9280E+13       0.90        u      

   477.30      1.7420E+08            1.00     0.90     0.00
  2      CO          60            3.5810E+05    3.5810E+05    1.4320E+12      17.40        u      

  1173.19      3.5810E+05            1.00    17.40     0.00
  3      BR          82            1.4680E+06    1.2030E+06    4.4860E+09       9.50        u      

   697.83      1.4680E+06            1.00     9.50     0.00
  4      ZR          97            8.6720E+07    5.7210E+07    1.2690E+11      42.10        u      

   254.33      1.0540E+08            0.82     4.30     0.90
  1362.90      3.2180E+07            2.69    23.80    -3.50
  5      NB          95            1.0080E+05    9.9980E+04    7.3250E+09      30.30        u      

   765.46      1.0090E+05            1.00    30.30     0.00
  6      RU         106            8.4770E+06    8.4770E+06    5.6560E+17       5.10        u      

   621.82      8.4770E+06            1.00     5.10     0.00
  7      SB         125            1.0770E+08    1.0760E+08    2.2300E+14       1.80        u      

   606.88      1.0770E+08            1.00     1.80     0.00
  8      TE         132            3.9050E+05    3.5630E+05    2.5990E+09      14.40        u      

   228.69      3.9580E+05            0.99    14.40     0.00
  9      I         131            6.0980E+05    5.8800E+05    1.0190E+10       7.20        u      

   364.28      6.0980E+05            1.00     7.20     0.00
  10      LA         140            7.6450E+05    6.4210E+05    2.6650E+09      27.70        u      

   487.11      6.6900E+05            1.14    17.80    -0.30
   816.42      1.3320E+06            0.57    14.90     1.10
  1596.95      7.0790E+05            1.08    12.20    -0.20
  11      EU         156            5.4580E+06    5.3530E+06    1.7220E+11      30.80        u      

  1153.41      5.4580E+06            1.00    30.80     0.00
  12      TB         160            2.0290E+03    2.0210E+03    3.0480E+08      30.30        u      

   765.46      5.0110E+06            0.00    30.30     0.00
  13      TB         161            7.2620E+06    6.9610E+06    1.0420E+11       6.70        u      

    74.89      7.2620E+06            1.00     6.70     0.00
  14      AU         198            6.9860E+05    6.2660E+05    3.9090E+09       9.00        u      

   411.27      6.9860E+05            1.00     9.00     0.00
  15      TL         200            2.8750E+05    2.1960E+05    6.4930E+08      22.30        u      

   367.95      2.8750E+05            1.00    22.30     0.00
  16      PB         211            1.6260E+12    1.3720E+07    8.4680E+13       7.10        u      

   404.85      1.7280E+12            1.00     7.10     0.00
